users,year,month,day,video_id,video_views,video_likes,video_dislikes,comments_count,total_comment_likes_count
149,2018,4,17,GaHe7jIzqy4,10511.0,275.0,10.0,46.0,117.0
99,2018,4,18,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
129,2018,4,19,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
206,2018,4,20,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
141,2018,4,21,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
89,2018,4,22,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
137,2018,4,23,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
93,2018,4,24,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
89,2018,4,25,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
84,2018,4,26,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
100,2018,4,27,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
102,2018,4,28,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
154,2018,4,29,HagHAcE3VWc,2611.0,98.0,3.0,20.0,5.0
286,2018,4,30,2NhZyfcsKks,10513.0,314.0,6.0,47.0,39.0
220,2018,5,1,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
146,2018,5,2,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
75,2018,5,3,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
82,2018,5,4,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
47,2018,5,5,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
253,2018,5,6,QwzhM8mSLto,15226.0,233.0,11.0,36.0,87.0
224,2018,5,7,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
145,2018,5,8,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
72,2018,5,9,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
87,2018,5,10,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
59,2018,5,11,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
60,2018,5,12,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
95,2018,5,13,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
73,2018,5,14,igR_UzaUlHw,29027.0,281.0,18.0,27.0,22.0
510,2018,5,15,tDcVcslUnx8,15031.0,311.0,14.0,59.0,158.0
281,2018,5,16,tDcVcslUnx8,15031.0,311.0,14.0,59.0,158.0
180,2018,5,17,tDcVcslUnx8,15031.0,311.0,14.0,59.0,158.0
127,2018,5,18,tDcVcslUnx8,15031.0,311.0,14.0,59.0,158.0
104,2018,5,19,tDcVcslUnx8,15031.0,311.0,14.0,59.0,158.0
147,2018,5,20,ts96R_waqFY,32476.0,364.0,18.0,33.0,86.0
105,2018,5,21,nUS5P-oTUc4,2221.0,69.0,2.0,17.0,12.0
121,2018,5,22,nUS5P-oTUc4,2221.0,69.0,2.0,17.0,12.0
154,2018,5,23,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
219,2018,5,24,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
158,2018,5,25,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
114,2018,5,26,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
144,2018,5,27,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
144,2018,5,28,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
121,2018,5,29,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
116,2018,5,30,JI3b-zXf7Ds,515615.0,3336.0,249.0,176.0,1094.0
220,2018,5,31,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
295,2018,6,1,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
247,2018,6,2,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
177,2018,6,3,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
238,2018,6,4,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
58,2018,6,5,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
20,2018,6,6,0-ZCc21ot_M,33432.0,796.0,33.0,135.0,212.0
238,2018,6,7,8FFx36VPoFA,7828.0,205.0,5.0,42.0,43.0
128,2018,6,8,8FFx36VPoFA,7828.0,205.0,5.0,42.0,43.0
137,2018,6,9,8FFx36VPoFA,7828.0,205.0,5.0,42.0,43.0
90,2018,6,10,8FFx36VPoFA,7828.0,205.0,5.0,42.0,43.0
258,2018,6,11,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
203,2018,6,12,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
279,2018,6,13,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
127,2018,6,14,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
87,2018,6,15,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
29,2018,6,16,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
36,2018,6,17,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
105,2018,6,18,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
155,2018,6,19,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
160,2018,6,20,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
148,2018,6,21,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
219,2018,6,22,JlTSUfyd7rI,6898.0,173.0,11.0,44.0,57.0
170,2018,6,23,PwrpIzZyGsE,56803.0,745.0,40.0,87.0,157.0
189,2018,6,24,PwrpIzZyGsE,56803.0,745.0,40.0,87.0,157.0
157,2018,6,25,PwrpIzZyGsE,56803.0,745.0,40.0,87.0,157.0
146,2018,6,26,PwrpIzZyGsE,56803.0,745.0,40.0,87.0,157.0
160,2018,6,27,PwrpIzZyGsE,56803.0,745.0,40.0,87.0,157.0
173,2018,6,28,hFm7VshJZxM,8931.0,222.0,9.0,50.0,75.0
179,2018,6,29,hFm7VshJZxM,8931.0,222.0,9.0,50.0,75.0
210,2018,6,30,95ZVDLRT4II,18251.0,486.0,10.0,94.0,130.0
161,2018,7,1,95ZVDLRT4II,18251.0,486.0,10.0,94.0,130.0
145,2018,7,2,95ZVDLRT4II,18251.0,486.0,10.0,94.0,130.0
85,2018,7,3,95ZVDLRT4II,18251.0,486.0,10.0,94.0,130.0
150,2018,7,4,hqNNEUbzhwc,5524.0,165.0,5.0,47.0,37.0
163,2018,7,5,hqNNEUbzhwc,5524.0,165.0,5.0,47.0,37.0
106,2018,7,6,hqNNEUbzhwc,5524.0,165.0,5.0,47.0,37.0
107,2018,7,7,hqNNEUbzhwc,5524.0,165.0,5.0,47.0,37.0
368,2018,7,8,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
368,2018,7,9,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
252,2018,7,10,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
172,2018,7,11,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
165,2018,7,12,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
144,2018,7,13,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
130,2018,7,14,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
144,2018,7,15,QpCr5APPZB4,37586.0,729.0,21.0,115.0,199.0
210,2018,7,16,RNpXhdppYW8,39684.0,511.0,23.0,63.0,95.0
187,2018,7,17,RNpXhdppYW8,39684.0,511.0,23.0,63.0,95.0
191,2018,7,18,RNpXhdppYW8,39684.0,511.0,23.0,63.0,95.0
278,2018,7,19,RNpXhdppYW8,39684.0,511.0,23.0,63.0,95.0
253,2018,7,20,RNpXhdppYW8,39684.0,511.0,23.0,63.0,95.0
525,2018,7,21,u7nX6_BI2tw,19799.0,522.0,16.0,83.0,101.0
489,2018,7,22,u7nX6_BI2tw,19799.0,522.0,16.0,83.0,101.0
340,2018,7,23,u7nX6_BI2tw,19799.0,522.0,16.0,83.0,101.0
349,2018,7,24,u7nX6_BI2tw,19799.0,522.0,16.0,83.0,101.0
386,2018,7,25,u7nX6_BI2tw,19799.0,522.0,16.0,83.0,101.0
351,2018,7,26,WvcPctJj9B4,55300.0,1158.0,54.0,249.0,755.0
270,2018,7,27,qA5M_khjJRU,5337.0,152.0,9.0,27.0,8.0
261,2018,7,28,qA5M_khjJRU,5337.0,152.0,9.0,27.0,8.0
276,2018,7,29,qA5M_khjJRU,5337.0,152.0,9.0,27.0,8.0
832,2018,7,30,aq_5qRW761c,7020.0,296.0,9.0,72.0,41.0
696,2018,7,31,aq_5qRW761c,7020.0,296.0,9.0,72.0,41.0
464,2018,8,1,CHxsxNTYG8U,4836.0,146.0,4.0,21.0,18.0
389,2018,8,2,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
336,2018,8,3,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
680,2018,8,4,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
363,2018,8,5,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
313,2018,8,6,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
416,2018,8,7,Zkb8xhWqnQ4,9081.0,237.0,7.0,81.0,93.0
378,2018,8,8,EnrFltVOF-Q,7915.0,220.0,6.0,59.0,94.0
360,2018,8,9,EnrFltVOF-Q,7915.0,220.0,6.0,59.0,94.0
332,2018,8,10,EnrFltVOF-Q,7915.0,220.0,6.0,59.0,94.0
331,2018,8,11,EnrFltVOF-Q,7915.0,220.0,6.0,59.0,94.0
414,2018,8,12,EnrFltVOF-Q,7915.0,220.0,6.0,59.0,94.0
530,2018,8,13,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
610,2018,8,14,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
388,2018,8,15,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
399,2018,8,16,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
349,2018,8,17,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
321,2018,8,18,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
365,2018,8,19,pwbEEn8zK1U,54598.0,910.0,18.0,132.0,180.0
450,2018,8,20,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
568,2018,8,21,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
419,2018,8,22,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
363,2018,8,23,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
375,2018,8,24,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
272,2018,8,25,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
384,2018,8,26,Z-u8U4_otl4,12327.0,331.0,9.0,85.0,87.0
462,2018,8,27,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
427,2018,8,28,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
411,2018,8,29,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
330,2018,8,30,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
306,2018,8,31,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
273,2018,9,1,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
355,2018,9,2,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
346,2018,9,3,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
349,2018,9,4,BFyvh2TUqvk,15493.0,270.0,20.0,75.0,141.0
384,2018,9,5,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
193,2018,9,6,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
368,2018,9,7,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
376,2018,9,8,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
548,2018,9,9,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
465,2018,9,10,Y4MKJBQGIAw,136813.0,2163.0,84.0,215.0,444.0
448,2018,9,11,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
387,2018,9,12,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
333,2018,9,13,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
322,2018,9,14,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
326,2018,9,15,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
408,2018,9,16,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
431,2018,9,17,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
423,2018,9,18,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
326,2018,9,19,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
297,2018,9,20,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
258,2018,9,21,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
286,2018,9,22,QGmYhErI9vQ,115194.0,1116.0,97.0,216.0,648.0
519,2018,9,23,Ohaq0uJhfv4,40292.0,1008.0,21.0,141.0,165.0
538,2018,9,24,Ohaq0uJhfv4,40292.0,1008.0,21.0,141.0,165.0
385,2018,9,25,Ohaq0uJhfv4,40292.0,1008.0,21.0,141.0,165.0
384,2018,9,26,QpHF7vYiC5Y,52715.0,1176.0,24.0,149.0,241.0
373,2018,9,27,QpHF7vYiC5Y,52715.0,1176.0,24.0,149.0,241.0
317,2018,9,28,QpHF7vYiC5Y,52715.0,1176.0,24.0,149.0,241.0
316,2018,9,29,QpHF7vYiC5Y,52715.0,1176.0,24.0,149.0,241.0
