date,users,year,month,day
2018-07-10,252,2018,7,10
2018-07-11,172,2018,7,11
2018-07-12,165,2018,7,12
2018-07-13,144,2018,7,13
2018-07-14,130,2018,7,14
2018-07-15,144,2018,7,15
2018-07-16,210,2018,7,16
2018-07-17,187,2018,7,17
2018-07-18,191,2018,7,18
2018-07-19,278,2018,7,19
2018-07-20,253,2018,7,20
2018-07-21,525,2018,7,21
2018-07-22,489,2018,7,22
2018-07-23,340,2018,7,23
2018-07-24,349,2018,7,24
2018-07-25,386,2018,7,25
2018-07-26,351,2018,7,26
2018-07-27,270,2018,7,27
2018-07-28,261,2018,7,28
2018-07-29,276,2018,7,29
2018-07-30,832,2018,7,30
2018-07-31,696,2018,7,31
2018-08-01,464,2018,8,1
2018-08-02,389,2018,8,2
2018-08-03,336,2018,8,3
2018-08-04,680,2018,8,4
2018-08-05,363,2018,8,5
2018-08-06,313,2018,8,6
2018-08-07,416,2018,8,7
2018-08-08,378,2018,8,8
2018-08-09,360,2018,8,9
2018-08-10,332,2018,8,10
2018-08-11,331,2018,8,11
2018-08-12,414,2018,8,12
2018-08-13,530,2018,8,13
2018-08-14,610,2018,8,14
2018-08-15,388,2018,8,15
2018-08-16,399,2018,8,16
2018-08-17,349,2018,8,17
2018-08-18,321,2018,8,18
2018-08-19,365,2018,8,19
2018-08-20,450,2018,8,20
2018-08-21,568,2018,8,21
2018-08-22,419,2018,8,22
2018-08-23,363,2018,8,23
2018-08-24,375,2018,8,24
2018-08-25,272,2018,8,25
2018-08-26,384,2018,8,26
2018-08-27,462,2018,8,27
2018-08-28,427,2018,8,28
2018-08-29,411,2018,8,29
2018-08-30,330,2018,8,30
2018-08-31,306,2018,8,31
2018-09-01,273,2018,9,1
2018-09-02,355,2018,9,2
2018-09-03,346,2018,9,3
2018-09-04,349,2018,9,4
2018-09-05,384,2018,9,5
2018-09-06,193,2018,9,6
2018-09-07,368,2018,9,7
2018-09-08,376,2018,9,8
2018-09-09,548,2018,9,9
2018-09-10,465,2018,9,10
2018-09-11,448,2018,9,11
2018-09-12,387,2018,9,12
2018-09-13,333,2018,9,13
2018-09-14,322,2018,9,14
2018-09-15,326,2018,9,15
2018-09-16,408,2018,9,16
2018-09-17,431,2018,9,17
2018-09-18,423,2018,9,18
2018-09-19,326,2018,9,19
2018-09-20,297,2018,9,20
2018-09-21,258,2018,9,21
2018-09-22,286,2018,9,22
2018-09-23,519,2018,9,23
2018-09-24,538,2018,9,24
2018-09-25,385,2018,9,25
2018-09-26,384,2018,9,26
2018-09-27,373,2018,9,27
2018-09-28,317,2018,9,28
2018-09-29,316,2018,9,29
2018-09-30,625,2018,9,30
2018-10-01,427,2018,10,1
2018-10-02,379,2018,10,2
2018-10-03,449,2018,10,3
2018-10-04,606,2018,10,4
2018-10-05,328,2018,10,5
2018-10-06,328,2018,10,6
2018-10-07,540,2018,10,7
2018-10-08,426,2018,10,8
2018-10-09,381,2018,10,9
2018-10-10,302,2018,10,10
2018-10-11,332,2018,10,11
2018-10-12,292,2018,10,12
2018-10-13,278,2018,10,13
2018-10-14,666,2018,10,14
2018-10-15,443,2018,10,15
2018-10-16,294,2018,10,16
2018-10-17,310,2018,10,17
2018-10-18,291,2018,10,18
2018-10-19,246,2018,10,19
2018-10-20,270,2018,10,20
2018-10-21,658,2018,10,21
2018-10-22,611,2018,10,22
2018-10-23,512,2018,10,23
2018-10-24,490,2018,10,24
2018-10-25,417,2018,10,25
2018-10-26,351,2018,10,26
2018-10-27,336,2018,10,27
2018-10-28,456,2018,10,28
2018-10-29,343,2018,10,29
2018-10-30,364,2018,10,30
2018-10-31,313,2018,10,31
2018-11-01,371,2018,11,1
2018-11-02,329,2018,11,2
2018-11-03,271,2018,11,3
2018-11-04,457,2018,11,4
2018-11-05,462,2018,11,5
2018-11-06,397,2018,11,6
2018-11-07,405,2018,11,7
2018-11-08,334,2018,11,8
2018-11-09,271,2018,11,9
2018-11-10,341,2018,11,10
2018-11-11,468,2018,11,11
2018-11-12,370,2018,11,12
2018-11-13,310,2018,11,13
2018-11-14,494,2018,11,14
2018-11-15,348,2018,11,15
2018-11-16,349,2018,11,16
2018-11-17,495,2018,11,17
2018-11-18,502,2018,11,18
2018-11-19,765,2018,11,19
2018-11-20,1101,2018,11,20
2018-11-21,949,2018,11,21
2018-11-22,925,2018,11,22
2018-11-23,1557,2018,11,23
2018-11-24,776,2018,11,24
2018-11-25,670,2018,11,25
2018-11-26,1121,2018,11,26
2018-11-27,530,2018,11,27
2018-11-28,409,2018,11,28
2018-11-29,339,2018,11,29
2018-11-30,613,2018,11,30
2018-12-01,332,2018,12,1
2018-12-02,775,2018,12,2
2018-12-03,646,2018,12,3
2018-12-04,427,2018,12,4
2018-12-05,410,2018,12,5
2018-12-06,747,2018,12,6
2018-12-07,412,2018,12,7
2018-12-08,530,2018,12,8
2018-12-09,702,2018,12,9
2018-12-10,437,2018,12,10
2018-12-11,407,2018,12,11
2018-12-12,372,2018,12,12
2018-12-13,419,2018,12,13
2018-12-14,346,2018,12,14
2018-12-15,393,2018,12,15
2018-12-16,913,2018,12,16
2018-12-17,503,2018,12,17
2018-12-18,703,2018,12,18
2018-12-19,637,2018,12,19
